date,CADEUR,isPartial
2015-01-04,30,False
2015-01-11,17,False
2015-01-18,34,False
2015-01-25,21,False
2015-02-01,15,False
2015-02-08,15,False
2015-02-15,26,False
2015-02-22,25,False
2015-03-01,12,False
2015-03-08,19,False
2015-03-15,13,False
2015-03-22,20,False
2015-03-29,15,False
2015-04-05,13,False
2015-04-12,17,False
2015-04-19,19,False
2015-04-26,17,False
2015-05-03,28,False
2015-05-10,22,False
2015-05-17,8,False
2015-05-24,25,False
2015-05-31,16,False
2015-06-07,21,False
2015-06-14,12,False
2015-06-21,19,False
2015-06-28,30,False
2015-07-05,19,False
2015-07-12,22,False
2015-07-19,13,False
2015-07-26,9,False
2015-08-02,17,False
2015-08-09,12,False
2015-08-16,15,False
2015-08-23,19,False
2015-08-30,21,False
2015-09-06,38,False
2015-09-13,21,False
2015-09-20,18,False
2015-09-27,20,False
2015-10-04,12,False
2015-10-11,8,False
2015-10-18,13,False
2015-10-25,18,False
2015-11-01,9,False
2015-11-08,8,False
2015-11-15,12,False
2015-11-22,16,False
2015-11-29,31,False
2015-12-06,26,False
2015-12-13,23,False
2015-12-20,18,False
2015-12-27,22,False
2016-01-03,34,False
2016-01-10,19,False
2016-01-17,8,False
2016-01-24,21,False
2016-01-31,24,False
2016-02-07,29,False
2016-02-14,40,False
2016-02-21,16,False
2016-02-28,15,False
2016-03-06,9,False
2016-03-13,15,False
2016-03-20,25,False
2016-03-27,8,False
2016-04-03,8,False
2016-04-10,12,False
2016-04-17,19,False
2016-04-24,18,False
2016-05-01,17,False
2016-05-08,18,False
2016-05-15,8,False
2016-05-22,8,False
2016-05-29,15,False
2016-06-05,34,False
2016-06-12,15,False
2016-06-19,34,False
2016-06-26,28,False
2016-07-03,15,False
2016-07-10,25,False
2016-07-17,12,False
2016-07-24,18,False
2016-07-31,9,False
2016-08-07,18,False
2016-08-14,11,False
2016-08-21,9,False
2016-08-28,9,False
2016-09-04,22,False
2016-09-11,16,False
2016-09-18,10,False
2016-09-25,14,False
2016-10-02,22,False
2016-10-09,19,False
2016-10-16,0,False
2016-10-23,8,False
2016-10-30,17,False
2016-11-06,18,False
2016-11-13,19,False
2016-11-20,12,False
2016-11-27,16,False
2016-12-04,23,False
2016-12-11,23,False
2016-12-18,22,False
2016-12-25,10,False
2017-01-01,25,False
2017-01-08,11,False
2017-01-15,11,False
2017-01-22,0,False
2017-01-29,11,False
2017-02-05,15,False
2017-02-12,15,False
2017-02-19,11,False
2017-02-26,9,False
2017-03-05,7,False
2017-03-12,7,False
2017-03-19,17,False
2017-03-26,9,False
2017-04-02,8,False
2017-04-09,16,False
2017-04-16,20,False
2017-04-23,16,False
2017-04-30,8,False
2017-05-07,22,False
2017-05-14,14,False
2017-05-21,22,False
2017-05-28,12,False
2017-06-04,9,False
2017-06-11,16,False
2017-06-18,14,False
2017-06-25,18,False
2017-07-02,18,False
2017-07-09,21,False
2017-07-16,17,False
2017-07-23,8,False
2017-07-30,14,False
2017-08-06,9,False
2017-08-13,12,False
2017-08-20,14,False
2017-08-27,17,False
2017-09-03,12,False
2017-09-10,8,False
2017-09-17,8,False
2017-09-24,10,False
2017-10-01,11,False
2017-10-08,8,False
2017-10-15,0,False
2017-10-22,15,False
2017-10-29,11,False
2017-11-05,8,False
2017-11-12,10,False
2017-11-19,9,False
2017-11-26,56,False
2017-12-03,71,False
2017-12-10,68,False
2017-12-17,82,False
2017-12-24,100,False
2017-12-31,31,True
