date,MADCAD,isPartial
2016-02-07,48,False
2016-02-14,34,False
2016-02-21,26,False
2016-02-28,28,False
2016-03-06,51,False
2016-03-13,40,False
2016-03-20,70,False
2016-03-27,36,False
2016-04-03,23,False
2016-04-10,34,False
2016-04-17,17,False
2016-04-24,27,False
2016-05-01,46,False
2016-05-08,52,False
2016-05-15,53,False
2016-05-22,46,False
2016-05-29,28,False
2016-06-05,27,False
2016-06-12,32,False
2016-06-19,18,False
2016-06-26,28,False
2016-07-03,25,False
2016-07-10,36,False
2016-07-17,29,False
2016-07-24,17,False
2016-07-31,19,False
2016-08-07,40,False
2016-08-14,39,False
2016-08-21,44,False
2016-08-28,66,False
2016-09-04,36,False
2016-09-11,16,False
2016-09-18,40,False
2016-09-25,16,False
2016-10-02,46,False
2016-10-09,29,False
2016-10-16,35,False
2016-10-23,70,False
2016-10-30,47,False
2016-11-06,34,False
2016-11-13,23,False
2016-11-20,47,False
2016-11-27,44,False
2016-12-04,45,False
2016-12-11,22,False
2016-12-18,24,False
2016-12-25,24,False
2017-01-01,40,False
2017-01-08,17,False
2017-01-15,37,False
2017-01-22,43,False
2017-01-29,25,False
2017-02-05,17,False
2017-02-12,31,False
2017-02-19,22,False
2017-02-26,62,False
2017-03-05,25,False
2017-03-12,57,False
2017-03-19,31,False
2017-03-26,47,False
2017-04-02,33,False
2017-04-09,27,False
2017-04-16,48,False
2017-04-23,42,False
2017-04-30,29,False
2017-05-07,58,False
2017-05-14,23,False
2017-05-21,29,False
2017-05-28,32,False
2017-06-04,33,False
2017-06-11,45,False
2017-06-18,30,False
2017-06-25,29,False
2017-07-02,32,False
2017-07-09,54,False
2017-07-16,52,False
2017-07-23,34,False
2017-07-30,30,False
2017-08-06,16,False
2017-08-13,39,False
2017-08-20,35,False
2017-08-27,55,False
2017-09-03,27,False
2017-09-10,27,False
2017-09-17,15,False
2017-09-24,37,False
2017-10-01,42,False
2017-10-08,42,False
2017-10-15,17,False
2017-10-22,26,False
2017-10-29,33,False
2017-11-05,41,False
2017-11-12,32,False
2017-11-19,16,False
2017-11-26,46,False
2017-12-03,21,False
2017-12-10,31,False
2017-12-17,16,False
2017-12-24,16,False
2017-12-31,37,True
