date,GBPSGD,isPartial
2017-08-20,7,False
2017-08-27,10,False
2017-09-03,10,False
2017-09-10,15,False
2017-09-17,7,False
2017-09-24,16,False
2017-10-01,9,False
2017-10-08,14,False
2017-10-15,10,False
2017-10-22,7,False
2017-10-29,11,False
2017-11-05,11,False
2017-11-12,15,False
2017-11-19,10,False
2017-11-26,12,False
2017-12-03,14,False
2017-12-10,12,False
2017-12-17,8,False
2017-12-24,13,False
2017-12-31,15,True
