date,GBPRUB,isPartial
2017-07-16,11,False
2017-07-23,8,False
2017-07-30,0,False
2017-08-06,7,False
2017-08-13,8,False
2017-08-20,0,False
2017-08-27,7,False
2017-09-03,8,False
2017-09-10,12,False
2017-09-17,14,False
2017-09-24,8,False
2017-10-01,9,False
2017-10-08,7,False
2017-10-15,7,False
2017-10-22,10,False
2017-10-29,9,False
2017-11-05,6,False
2017-11-12,12,False
2017-11-19,9,False
2017-11-26,13,False
2017-12-03,7,False
2017-12-10,13,False
2017-12-17,14,False
2017-12-24,0,False
2017-12-31,0,True
