date,EURCZK,isPartial
2015-11-08,10,False
2015-11-15,15,False
2015-11-22,6,False
2015-11-29,11,False
2015-12-06,10,False
2015-12-13,10,False
2015-12-20,7,False
2015-12-27,7,False
2016-01-03,12,False
2016-01-10,7,False
2016-01-17,25,False
2016-01-24,6,False
2016-01-31,9,False
2016-02-07,10,False
2016-02-14,16,False
2016-02-21,18,False
2016-02-28,18,False
2016-03-06,12,False
2016-03-13,6,False
2016-03-20,9,False
2016-03-27,8,False
2016-04-03,10,False
2016-04-10,11,False
2016-04-17,10,False
2016-04-24,6,False
2016-05-01,10,False
2016-05-08,13,False
2016-05-15,6,False
2016-05-22,6,False
2016-05-29,13,False
2016-06-05,14,False
2016-06-12,6,False
2016-06-19,21,False
2016-06-26,14,False
2016-07-03,14,False
2016-07-10,9,False
2016-07-17,8,False
2016-07-24,7,False
2016-07-31,10,False
2016-08-07,7,False
2016-08-14,12,False
2016-08-21,7,False
2016-08-28,0,False
2016-09-04,17,False
2016-09-11,14,False
2016-09-18,6,False
2016-09-25,12,False
2016-10-02,13,False
2016-10-09,11,False
2016-10-16,11,False
2016-10-23,7,False
2016-10-30,6,False
2016-11-06,9,False
2016-11-13,13,False
2016-11-20,12,False
2016-11-27,6,False
2016-12-04,11,False
2016-12-11,15,False
2016-12-18,13,False
2016-12-25,17,False
2017-01-01,6,False
2017-01-08,6,False
2017-01-15,11,False
2017-01-22,12,False
2017-01-29,6,False
2017-02-05,16,False
2017-02-12,11,False
2017-02-19,6,False
2017-02-26,14,False
2017-03-05,11,False
2017-03-12,14,False
2017-03-19,23,False
2017-03-26,40,False
2017-04-02,100,False
2017-04-09,58,False
2017-04-16,41,False
2017-04-23,28,False
2017-04-30,25,False
2017-05-07,23,False
2017-05-14,20,False
2017-05-21,13,False
2017-05-28,9,False
2017-06-04,31,False
2017-06-11,18,False
2017-06-18,11,False
2017-06-25,18,False
2017-07-02,9,False
2017-07-09,24,False
2017-07-16,25,False
2017-07-23,23,False
2017-07-30,24,False
2017-08-06,18,False
2017-08-13,12,False
2017-08-20,8,False
2017-08-27,26,False
2017-09-03,13,False
2017-09-10,19,False
2017-09-17,13,False
2017-09-24,8,False
2017-10-01,12,False
2017-10-08,6,False
2017-10-15,11,False
2017-10-22,22,False
2017-10-29,20,False
2017-11-05,8,False
2017-11-12,11,False
2017-11-19,10,False
2017-11-26,10,False
2017-12-03,24,False
2017-12-10,20,False
2017-12-17,16,False
2017-12-24,19,False
2017-12-31,15,True
