date,EURCNY,isPartial
2014-10-26,15,False
2014-11-02,33,False
2014-11-09,26,False
2014-11-16,0,False
2014-11-23,22,False
2014-11-30,0,False
2014-12-07,33,False
2014-12-14,27,False
2014-12-21,24,False
2014-12-28,23,False
2015-01-04,41,False
2015-01-11,46,False
2015-01-18,55,False
2015-01-25,54,False
2015-02-01,40,False
2015-02-08,21,False
2015-02-15,14,False
2015-02-22,34,False
2015-03-01,40,False
2015-03-08,74,False
2015-03-15,47,False
2015-03-22,44,False
2015-03-29,36,False
2015-04-05,14,False
2015-04-12,30,False
2015-04-19,21,False
2015-04-26,15,False
2015-05-03,25,False
2015-05-10,21,False
2015-05-17,41,False
2015-05-24,14,False
2015-05-31,15,False
2015-06-07,31,False
2015-06-14,21,False
2015-06-21,21,False
2015-06-28,42,False
2015-07-05,20,False
2015-07-12,20,False
2015-07-19,41,False
2015-07-26,40,False
2015-08-02,30,False
2015-08-09,100,False
2015-08-16,35,False
2015-08-23,58,False
2015-08-30,19,False
2015-09-06,43,False
2015-09-13,28,False
2015-09-20,37,False
2015-09-27,26,False
2015-10-04,18,False
2015-10-11,44,False
2015-10-18,13,False
2015-10-25,38,False
2015-11-01,18,False
2015-11-08,13,False
2015-11-15,18,False
2015-11-22,16,False
2015-11-29,41,False
2015-12-06,25,False
2015-12-13,37,False
2015-12-20,16,False
2015-12-27,0,False
2016-01-03,29,False
2016-01-10,29,False
2016-01-17,40,False
2016-01-24,35,False
2016-01-31,20,False
2016-02-07,29,False
2016-02-14,28,False
2016-02-21,19,False
2016-02-28,23,False
2016-03-06,37,False
2016-03-13,13,False
2016-03-20,36,False
2016-03-27,27,False
2016-04-03,26,False
2016-04-10,13,False
2016-04-17,14,False
2016-04-24,51,False
2016-05-01,27,False
2016-05-08,15,False
2016-05-15,19,False
2016-05-22,0,False
2016-05-29,27,False
2016-06-05,23,False
2016-06-12,15,False
2016-06-19,25,False
2016-06-26,35,False
2016-07-03,31,False
2016-07-10,30,False
2016-07-17,16,False
2016-07-24,28,False
2016-07-31,32,False
2016-08-07,0,False
2016-08-14,30,False
2016-08-21,16,False
2016-08-28,28,False
2016-09-04,14,False
2016-09-11,24,False
2016-09-18,14,False
2016-09-25,24,False
2016-10-02,34,False
2016-10-09,20,False
2016-10-16,27,False
2016-10-23,19,False
2016-10-30,27,False
2016-11-06,0,False
2016-11-13,34,False
2016-11-20,24,False
2016-11-27,25,False
2016-12-04,55,False
2016-12-11,17,False
2016-12-18,35,False
2016-12-25,21,False
2017-01-01,15,False
2017-01-08,19,False
2017-01-15,31,False
2017-01-22,18,False
2017-01-29,18,False
2017-02-05,14,False
2017-02-12,12,False
2017-02-19,33,False
2017-02-26,24,False
2017-03-05,13,False
2017-03-12,20,False
2017-03-19,0,False
2017-03-26,27,False
2017-04-02,14,False
2017-04-09,18,False
2017-04-16,32,False
2017-04-23,18,False
2017-04-30,12,False
2017-05-07,48,False
2017-05-14,30,False
2017-05-21,19,False
2017-05-28,27,False
2017-06-04,19,False
2017-06-11,13,False
2017-06-18,26,False
2017-06-25,24,False
2017-07-02,19,False
2017-07-09,20,False
2017-07-16,34,False
2017-07-23,26,False
2017-07-30,29,False
2017-08-06,14,False
2017-08-13,29,False
2017-08-20,36,False
2017-08-27,28,False
2017-09-03,31,False
2017-09-10,25,False
2017-09-17,49,False
2017-09-24,21,False
2017-10-01,0,False
2017-10-08,28,False
2017-10-15,21,False
2017-10-22,28,False
2017-10-29,18,False
2017-11-05,48,False
2017-11-12,18,False
2017-11-19,48,False
2017-11-26,13,False
2017-12-03,12,False
2017-12-10,22,False
2017-12-17,18,False
2017-12-24,30,False
2017-12-31,36,True
