date,AUDTRY,isPartial
2016-09-04,23,False
2016-09-11,0,False
2016-09-18,11,False
2016-09-25,11,False
2016-10-02,22,False
2016-10-09,11,False
2016-10-16,11,False
2016-10-23,11,False
2016-10-30,0,False
2016-11-06,100,False
2016-11-13,11,False
2016-11-20,11,False
2016-11-27,16,False
2016-12-04,0,False
2016-12-11,10,False
2016-12-18,11,False
2016-12-25,0,False
2017-01-01,11,False
2017-01-08,31,False
2017-01-15,0,False
2017-01-22,27,False
2017-01-29,0,False
2017-02-05,10,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,13,False
2017-03-05,20,False
2017-03-12,0,False
2017-03-19,20,False
2017-03-26,10,False
2017-04-02,0,False
2017-04-09,11,False
2017-04-16,20,False
2017-04-23,15,False
2017-04-30,31,False
2017-05-07,20,False
2017-05-14,0,False
2017-05-21,0,False
2017-05-28,12,False
2017-06-04,11,False
2017-06-11,11,False
2017-06-18,18,False
2017-06-25,11,False
2017-07-02,11,False
2017-07-09,12,False
2017-07-16,19,False
2017-07-23,11,False
2017-07-30,28,False
2017-08-06,11,False
2017-08-13,18,False
2017-08-20,11,False
2017-08-27,11,False
2017-09-03,12,False
2017-09-10,10,False
2017-09-17,21,False
2017-09-24,0,False
2017-10-01,21,False
2017-10-08,20,False
2017-10-15,12,False
2017-10-22,0,False
2017-10-29,13,False
2017-11-05,17,False
2017-11-12,11,False
2017-11-19,28,False
2017-11-26,11,False
2017-12-03,10,False
2017-12-10,10,False
2017-12-17,10,False
2017-12-24,11,False
2017-12-31,0,True
