date,CHFPLN,isPartial
2016-05-22,10,False
2016-05-29,8,False
2016-06-05,11,False
2016-06-12,10,False
2016-06-19,41,False
2016-06-26,14,False
2016-07-03,9,False
2016-07-10,6,False
2016-07-17,11,False
2016-07-24,0,False
2016-07-31,11,False
2016-08-07,7,False
2016-08-14,18,False
2016-08-21,15,False
2016-08-28,6,False
2016-09-04,6,False
2016-09-11,7,False
2016-09-18,20,False
2016-09-25,8,False
2016-10-02,11,False
2016-10-09,10,False
2016-10-16,7,False
2016-10-23,0,False
2016-10-30,11,False
2016-11-06,18,False
2016-11-13,20,False
2016-11-20,16,False
2016-11-27,16,False
2016-12-04,10,False
2016-12-11,12,False
2016-12-18,7,False
2016-12-25,9,False
2017-01-01,12,False
2017-01-08,10,False
2017-01-15,6,False
2017-01-22,5,False
2017-01-29,13,False
2017-02-05,5,False
2017-02-12,9,False
2017-02-19,0,False
2017-02-26,5,False
2017-03-05,10,False
2017-03-12,6,False
2017-03-19,7,False
2017-03-26,9,False
2017-04-02,8,False
2017-04-09,12,False
2017-04-16,8,False
2017-04-23,11,False
2017-04-30,10,False
2017-05-07,8,False
2017-05-14,24,False
2017-05-21,6,False
2017-05-28,15,False
2017-06-04,11,False
2017-06-11,8,False
2017-06-18,0,False
2017-06-25,11,False
2017-07-02,6,False
2017-07-09,10,False
2017-07-16,6,False
2017-07-23,8,False
2017-07-30,14,False
2017-08-06,15,False
2017-08-13,16,False
2017-08-20,12,False
2017-08-27,8,False
2017-09-03,5,False
2017-09-10,8,False
2017-09-17,10,False
2017-09-24,13,False
2017-10-01,0,False
2017-10-08,9,False
2017-10-15,8,False
2017-10-22,11,False
2017-10-29,12,False
2017-11-05,6,False
2017-11-12,10,False
2017-11-19,7,False
2017-11-26,10,False
2017-12-03,7,False
2017-12-10,9,False
2017-12-17,11,False
2017-12-24,10,False
2017-12-31,0,True
