date,JPYUSD,isPartial
2016-08-07,0,False
2016-08-14,0,False
2016-08-21,52,False
2016-08-28,17,False
2016-09-04,33,False
2016-09-11,50,False
2016-09-18,49,False
2016-09-25,16,False
2016-10-02,32,False
2016-10-09,32,False
2016-10-16,0,False
2016-10-23,0,False
2016-10-30,0,False
2016-11-06,78,False
2016-11-13,79,False
2016-11-20,16,False
2016-11-27,31,False
2016-12-04,60,False
2016-12-11,31,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,16,False
2017-01-08,15,False
2017-01-15,30,False
2017-01-22,59,False
2017-01-29,15,False
2017-02-05,0,False
2017-02-12,15,False
2017-02-19,44,False
2017-02-26,14,False
2017-03-05,14,False
2017-03-12,0,False
2017-03-19,15,False
2017-03-26,15,False
2017-04-02,30,False
2017-04-09,30,False
2017-04-16,45,False
2017-04-23,15,False
2017-04-30,30,False
2017-05-07,44,False
2017-05-14,16,False
2017-05-21,0,False
2017-05-28,32,False
2017-06-04,0,False
2017-06-11,16,False
2017-06-18,31,False
2017-06-25,48,False
2017-07-02,16,False
2017-07-09,48,False
2017-07-16,16,False
2017-07-23,0,False
2017-07-30,46,False
2017-08-06,15,False
2017-08-13,16,False
2017-08-20,31,False
2017-08-27,0,False
2017-09-03,15,False
2017-09-10,29,False
2017-09-17,15,False
2017-09-24,15,False
2017-10-01,45,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,28,False
2017-11-19,14,False
2017-11-26,0,False
2017-12-03,29,False
2017-12-10,43,False
2017-12-17,62,True
