date,CHFEUR,isPartial
2015-09-06,0,False
2015-09-13,15,False
2015-09-20,10,False
2015-09-27,5,False
2015-10-04,10,False
2015-10-11,5,False
2015-10-18,10,False
2015-10-25,10,False
2015-11-01,24,False
2015-11-08,5,False
2015-11-15,0,False
2015-11-22,0,False
2015-11-29,9,False
2015-12-06,14,False
2015-12-13,5,False
2015-12-20,0,False
2015-12-27,11,False
2016-01-03,0,False
2016-01-10,0,False
2016-01-17,5,False
2016-01-24,10,False
2016-01-31,0,False
2016-02-07,10,False
2016-02-14,10,False
2016-02-21,0,False
2016-02-28,10,False
2016-03-06,5,False
2016-03-13,0,False
2016-03-20,15,False
2016-03-27,5,False
2016-04-03,5,False
2016-04-10,0,False
2016-04-17,5,False
2016-04-24,5,False
2016-05-01,5,False
2016-05-08,0,False
2016-05-15,0,False
2016-05-22,10,False
2016-05-29,5,False
2016-06-05,5,False
2016-06-12,0,False
2016-06-19,16,False
2016-06-26,10,False
2016-07-03,5,False
2016-07-10,0,False
2016-07-17,0,False
2016-07-24,5,False
2016-07-31,0,False
2016-08-07,17,False
2016-08-14,6,False
2016-08-21,0,False
2016-08-28,5,False
2016-09-04,5,False
2016-09-11,21,False
2016-09-18,0,False
2016-09-25,0,False
2016-10-02,5,False
2016-10-09,0,False
2016-10-16,0,False
2016-10-23,5,False
2016-10-30,5,False
2016-11-06,10,False
2016-11-13,5,False
2016-11-20,0,False
2016-11-27,0,False
2016-12-04,5,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,5,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,5,False
2017-01-22,0,False
2017-01-29,5,False
2017-02-05,9,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,9,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,5,False
2017-03-26,0,False
2017-04-02,5,False
2017-04-09,10,False
2017-04-16,5,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,5,False
2017-05-21,5,False
2017-05-28,0,False
2017-06-04,0,False
2017-06-11,5,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,10,False
2017-07-09,0,False
2017-07-16,10,False
2017-07-23,5,False
2017-07-30,14,False
2017-08-06,14,False
2017-08-13,0,False
2017-08-20,10,False
2017-08-27,5,False
2017-09-03,10,False
2017-09-10,9,False
2017-09-17,19,False
2017-09-24,5,False
2017-10-01,5,False
2017-10-08,0,False
2017-10-15,5,False
2017-10-22,14,False
2017-10-29,5,False
2017-11-05,0,False
2017-11-12,4,False
2017-11-19,0,False
2017-11-26,4,False
2017-12-03,5,False
2017-12-10,9,False
2017-12-17,13,True
