date,bitcoin,Sequence,isPartial
2016-05-15,3,3,False
2016-05-22,3,3,False
2016-05-29,4,3,False
2016-06-05,3,3,False
2016-06-12,5,3,False
2016-06-19,5,3,False
2016-06-26,4,2,False
2016-07-03,4,2,False
2016-07-10,3,2,False
2016-07-17,3,2,False
2016-07-24,3,2,False
2016-07-31,4,2,False
2016-08-07,3,2,False
2016-08-14,3,2,False
2016-08-21,3,2,False
2016-08-28,3,3,False
2016-09-04,3,3,False
2016-09-11,3,3,False
2016-09-18,3,3,False
2016-09-25,3,3,False
2016-10-02,3,3,False
2016-10-09,3,3,False
2016-10-16,3,3,False
2016-10-23,3,3,False
2016-10-30,4,3,False
2016-11-06,4,3,False
2016-11-13,3,3,False
2016-11-20,3,3,False
2016-11-27,4,3,False
2016-12-04,3,3,False
2016-12-11,3,3,False
2016-12-18,4,2,False
2016-12-25,5,2,False
2017-01-01,8,2,False
2017-01-08,6,3,False
2017-01-15,5,3,False
2017-01-22,4,3,False
2017-01-29,5,3,False
2017-02-05,5,3,False
2017-02-12,4,3,False
2017-02-19,6,3,False
2017-02-26,6,3,False
2017-03-05,7,3,False
2017-03-12,6,3,False
2017-03-19,6,3,False
2017-03-26,5,3,False
2017-04-02,5,3,False
2017-04-09,5,3,False
2017-04-16,5,3,False
2017-04-23,5,3,False
2017-04-30,8,3,False
2017-05-07,10,3,False
2017-05-14,12,3,False
2017-05-21,21,3,False
2017-05-28,13,2,False
2017-06-04,13,3,False
2017-06-11,15,3,False
2017-06-18,12,2,False
2017-06-25,12,2,False
2017-07-02,10,2,False
2017-07-09,11,2,False
2017-07-16,13,2,False
2017-07-23,12,2,False
2017-07-30,17,2,False
2017-08-06,16,2,False
2017-08-13,22,2,False
2017-08-20,18,2,False
2017-08-27,19,2,False
2017-09-03,20,3,False
2017-09-10,23,3,False
2017-09-17,17,3,False
2017-09-24,14,3,False
2017-10-01,14,3,False
2017-10-08,21,3,False
2017-10-15,22,3,False
2017-10-22,23,3,False
2017-10-29,30,3,False
2017-11-05,32,3,False
2017-11-12,34,3,False
2017-11-19,30,3,False
2017-11-26,72,3,False
2017-12-03,100,3,False
2017-12-10,97,3,True
